date,league,season,referee,odds_over25,odds_under25,squad,opponent,venue,goals_for,goals_against,ht_goals_for,ht_goals_against,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,opp_shots,opp_shots_on_target,opp_corners,opp_fouls,odds_win,odds_draw,odds_loss,result,shot_accuracy,shot_conversion,opp_shot_accuracy,shot_dominance,corner_dominance,discipline_index,foul_rate,second_half_goals,clean_sheet,implied_win_prob,implied_draw_prob,implied_loss_prob,over25_implied,match_points,rolling_form_5,rolling_goals_5,rolling_conceded_5
,SPA-La Liga,2015-2016,,,,Celta,Real Madrid,Away,1,7,0,1,8,3,5,12,3,0,20,12,10,13,,,,L,0.375,0.125,0.6,0.2857142857142857,0.3333333333333333,30,12,1,0,0.35359109538829203,,,0.5052356020942408,0,1.4,1.2,3.0
,SPA-La Liga,2015-2016,,,,Celta,Sociedad,Home,1,0,1,0,7,1,5,21,3,0,15,6,3,9,,,,W,0.14285714285714285,0.14285714285714285,0.4,0.3181818181818182,0.625,30,21,0,1,0.35359109538829203,,,0.5052356020942408,3,2.0,1.2,1.8
,SPA-La Liga,2015-2016,,,,Celta,Valencia,Away,2,0,0,0,13,6,5,14,0,0,14,4,4,14,,,,W,0.46153846153846156,0.15384615384615385,0.2857142857142857,0.48148148148148145,0.5555555555555556,0,14,2,1,0.35359109538829203,,,0.5052356020942408,3,2.0,1.0,1.4
,SPA-La Liga,2015-2016,,,,Celta,La Coruna,Home,1,1,1,1,9,2,11,15,4,0,7,3,0,8,,,,D,0.2222222222222222,0.1111111111111111,0.42857142857142855,0.5625,1.0,40,15,0,0,0.35359109538829203,,,0.5052356020942408,1,1.6,1.0,1.6
,SPA-La Liga,2015-2016,,,,Celta,Sp Gijon,Away,1,0,0,0,17,5,7,11,5,0,9,2,7,8,,,,W,0.29411764705882354,0.058823529411764705,0.2222222222222222,0.6538461538461539,0.5,50,11,1,1,0.35359109538829203,,,0.5052356020942408,3,2.0,1.2,1.6
,SPA-La Liga,2015-2016,,,,Celta,Betis,Home,1,1,0,1,18,5,12,14,4,0,9,4,4,18,,,,D,0.2777777777777778,0.05555555555555555,0.4444444444444444,0.6666666666666666,0.75,40,14,1,0,0.35359109538829203,,,0.5052356020942408,1,2.2,1.2,0.4
,SPA-La Liga,2015-2016,,,,Celta,Espanol,Away,1,1,1,1,3,1,2,13,1,0,8,3,2,15,,,,D,0.3333333333333333,0.3333333333333333,0.375,0.2727272727272727,0.5,10,13,0,0,0.35359109538829203,,,0.5052356020942408,1,1.8,1.2,0.6
,SPA-La Liga,2015-2016,,,,Celta,Granada,Home,2,1,1,0,15,4,4,13,2,0,11,3,4,15,,,,W,0.26666666666666666,0.13333333333333333,0.2727272727272727,0.5769230769230769,0.5,20,13,1,0,0.35359109538829203,,,0.5052356020942408,3,1.8,1.2,0.8
,SPA-La Liga,2015-2016,,,,Celta,Ath Bilbao,Away,1,2,1,1,5,2,2,19,5,1,10,2,7,12,,,,L,0.4,0.2,0.2,0.3333333333333333,0.2222222222222222,75,19,0,0,0.35359109538829203,,,0.5052356020942408,0,1.6,1.2,1.0
,SPA-La Liga,2015-2016,,,,Celta,Malaga,Home,1,0,1,0,12,3,4,11,0,0,13,5,3,10,,,,W,0.25,0.08333333333333333,0.38461538461538464,0.48,0.5714285714285714,0,11,0,1,0.35359109538829203,,,0.5052356020942408,3,1.6,1.2,1.0
